iter	RMSE
0	1.423643373
1	1.303798327
2	1.194760875
3	1.095779083
4	1.006318941
5	0.9261067622
6	0.8545456404
7	0.7940991968
8	0.7358352844
9	0.6844540333
10	0.6367850647
11	0.5967098472
12	0.5639960888
13	0.5306239134
14	0.503516391
15	0.4787327569
16	0.4570607491
17	0.437749785
18	0.4214375559
19	0.4067607023
20	0.3945599957
21	0.3834073308
22	0.3730665199
23	0.3661386903
24	0.3585333904
25	0.3525280942
26	0.3471511934
27	0.3434801541
28	0.3387953743
29	0.3357345935
30	0.3324598754
31	0.3294323462
32	0.3264197067
33	0.3246405335
34	0.3219789339
35	0.3197517118
36	0.3186719379
37	0.3173538841
38	0.3160660476
39	0.314090635
40	0.3131363492
41	0.3118435986
42	0.3105651612
43	0.3097210175
44	0.3084843842
45	0.3077966244
46	0.307088484
47	0.3064906047
48	0.3058018597
49	0.3050756562
50	0.3036457139
51	0.3029209533
52	0.3024723076
53	0.3015921048
54	0.3004368815
55	0.2996164128
56	0.2995665151
57	0.2985671401
58	0.2975034113
59	0.2968739737
60	0.2963223424
61	0.2951890342
62	0.2947041835
63	0.2941468062
64	0.293593122
65	0.2930833859
66	0.2927820803
67	0.2919003555
68	0.2912030479
69	0.2906641916
70	0.2903193799
71	0.2899139561
72	0.2896556181
73	0.2891942338
74	0.2886864471
75	0.2880597293
76	0.2872978514
77	0.2865690759
78	0.2857666283
79	0.2854172554
80	0.2848061086
81	0.2844092366
82	0.2837002163
83	0.2831569683
84	0.2822843265
85	0.2814435514
86	0.280731457
87	0.2804779105
88	0.2797953822
89	0.2788249677
90	0.2780841378
91	0.277636749
92	0.2767875425
93	0.2761134698
94	0.2755917897
95	0.2750307252
96	0.2740521483
97	0.2734011299
98	0.2728317984
99	0.2723791262
100	0.2720183333
101	0.2714532486
102	0.270820791
103	0.2704173225
104	0.2698816189
105	0.2694491483
106	0.26921647
107	0.2686216979
108	0.2681159988
109	0.2678184753
110	0.2675318324
111	0.2670509119
112	0.2666961353
113	0.2659999191
114	0.2653485351
115	0.2648776453
116	0.2644588516
117	0.2638639024
118	0.2635247454
119	0.2626932621
120	0.2622944707
121	0.2620128928
122	0.2616623217
123	0.2611539145
124	0.2606167961
125	0.2603077382
126	0.2594898144
127	0.2591172778
128	0.2589369316
129	0.258498471
130	0.2579003889
131	0.2573978733
132	0.2570440086
133	0.2563174316
134	0.25577551
135	0.2551644523
136	0.2547279103
137	0.2545048684
138	0.2540381023
139	0.2535448873
140	0.2530421012
141	0.2525952149
142	0.2521816545
143	0.2519976519
144	0.2516377875
145	0.2512349096
146	0.2508310922
147	0.2505806885
148	0.2499690679
149	0.2494580818
150	0.2490520554
151	0.2488535456
152	0.2480932055
153	0.2476563232
154	0.2474176914
155	0.2467804598
156	0.2462463049
157	0.2453742542
158	0.244724951
159	0.2439706113
160	0.2431243025
161	0.2430245859
162	0.2426018222
163	0.2422004746
164	0.2419030001
165	0.2416162012
166	0.2412021099
167	0.2408705519
168	0.2406485475
169	0.240382065
170	0.2397745116
171	0.2395084727
172	0.2393206689
173	0.2388136857
174	0.2384046945
175	0.2377593495
176	0.2372361242
177	0.2367723417
178	0.2365075965
179	0.2363051967
180	0.2360971914
181	0.2355895937
182	0.2353103855
183	0.2349812985
184	0.2347827446
185	0.2340287936
186	0.2337519325
187	0.2334503355
188	0.2328759499
189	0.2325926842
190	0.2322461516
191	0.2319224828
192	0.2316047589
193	0.2310756621
194	0.2305824867
195	0.2302114583
196	0.2298938567
197	0.2295882247
198	0.2292230061
199	0.2287722723
