iter	Passed	Remaining
0	23	4675
1	45	4507
2	66	4388
3	89	4364
4	111	4342
5	134	4348
6	156	4327
7	161	3886
8	183	3899
9	207	3939
10	230	3964
11	253	3968
12	275	3956
13	297	3954
14	322	3972
15	354	4072
16	377	4068
17	402	4066
18	426	4063
19	451	4061
20	474	4045
21	499	4043
22	525	4041
23	550	4039
24	576	4032
25	600	4015
26	623	3995
27	647	3976
28	672	3968
29	697	3954
30	723	3943
31	746	3921
32	770	3901
33	794	3879
34	818	3856
35	841	3832
36	865	3811
37	889	3792
38	915	3778
39	938	3755
40	962	3730
41	987	3713
42	1011	3692
43	1034	3668
44	1058	3644
45	1081	3622
46	1106	3602
47	1132	3584
48	1159	3571
49	1186	3558
50	1213	3544
51	1238	3523
52	1263	3503
53	1289	3485
54	1313	3463
55	1338	3442
56	1340	3364
57	1365	3343
58	1389	3320
59	1413	3297
60	1436	3272
61	1459	3248
62	1482	3223
63	1505	3200
64	1528	3173
65	1551	3149
66	1573	3124
67	1596	3098
68	1618	3072
69	1640	3046
70	1662	3020
71	1684	2994
72	1706	2968
73	1728	2943
74	1751	2918
75	1773	2893
76	1795	2868
77	1816	2841
78	1838	2816
79	1860	2790
80	1882	2765
81	1904	2740
82	1926	2716
83	1949	2691
84	1970	2666
85	1992	2641
86	2015	2617
87	2037	2592
88	2059	2568
89	2081	2543
90	2103	2519
91	2125	2494
92	2147	2470
93	2169	2446
94	2191	2422
95	2214	2398
96	2236	2374
97	2258	2350
98	2280	2326
99	2303	2303
100	2325	2279
101	2349	2257
102	2371	2233
103	2393	2209
104	2415	2185
105	2437	2161
106	2459	2137
107	2481	2113
108	2503	2089
109	2526	2066
110	2547	2042
111	2568	2018
112	2590	1994
113	2612	1970
114	2633	1946
115	2655	1922
116	2678	1900
117	2700	1876
118	2723	1853
119	2745	1830
120	2766	1806
121	2788	1782
122	2809	1759
123	2831	1735
124	2852	1711
125	2874	1688
126	2895	1664
127	2917	1641
128	2939	1617
129	2961	1594
130	2982	1570
131	3004	1547
132	3026	1524
133	3047	1501
134	3069	1477
135	3092	1455
136	3114	1432
137	3136	1409
138	3157	1385
139	3179	1362
140	3200	1339
141	3222	1316
142	3245	1293
143	3266	1270
144	3287	1247
145	3309	1223
146	3330	1200
147	3352	1178
148	3374	1155
149	3396	1132
150	3419	1109
151	3441	1086
152	3463	1063
153	3484	1040
154	3506	1018
155	3528	995
156	3550	972
157	3572	949
158	3594	926
159	3615	903
160	3637	881
161	3660	858
162	3682	835
163	3704	813
164	3725	790
165	3747	767
166	3769	744
167	3791	722
168	3813	699
169	3835	676
170	3857	654
171	3878	631
172	3901	608
173	3942	589
174	3971	567
175	3999	545
176	4026	523
177	4051	500
178	4074	478
179	4098	455
180	4121	432
181	4144	409
182	4166	387
183	4188	364
184	4210	341
185	4232	318
186	4253	295
187	4275	272
188	4297	250
189	4320	227
190	4343	204
191	4365	181
192	4388	159
193	4410	136
194	4432	113
195	4453	90
196	4475	68
197	4498	45
198	4520	22
199	4543	0
