dep,date,reg,lib_dep,lib_reg,tx_pos,tx_incid,TO,R,hosp,rea,rad,dchosp,reg_rea,incid_hosp,incid_rea,incid_rad,incid_dchosp,reg_incid_rea,pos,pos_7j,cv_dose1
75,2020-03-18,11.0,Paris,Île-de-France,,,0.256320836965998,,359.0,105.0,40.0,14.0,294.0,,,,,,,,
75,2020-03-19,11.0,Paris,Île-de-France,,,0.35745422842197,,453.0,122.0,62.0,22.0,360.0,167.0,41.0,31.0,11.0,151.0,,,
75,2020-03-20,11.0,Paris,Île-de-France,,,0.421970357454228,,575.0,145.0,98.0,30.0,484.0,120.0,21.0,28.0,5.0,89.0,,,
75,2020-03-21,11.0,Paris,Île-de-France,,,0.49433304272014,,649.0,165.0,122.0,36.0,545.0,138.0,34.0,35.0,7.0,104.0,,,
75,2020-03-22,11.0,Paris,Île-de-France,,,0.580645161290323,,728.0,195.0,145.0,40.0,640.0,147.0,31.0,33.0,4.0,125.0,,,
75,2020-03-23,11.0,Paris,Île-de-France,,,0.68613775065388,,925.0,223.0,198.0,59.0,787.0,189.0,31.0,33.0,18.0,155.0,,,
75,2020-03-24,11.0,Paris,Île-de-France,,,0.848299912816042,,1076.0,284.0,232.0,80.0,973.0,209.0,70.0,35.0,21.0,236.0,,,
75,2020-03-25,11.0,Paris,Île-de-France,,,0.971229293809939,,1289.0,328.0,291.0,112.0,1114.0,316.0,66.0,62.0,32.0,219.0,,,
75,2020-03-26,11.0,Paris,Île-de-France,,,1.10636442894507,,1493.0,375.0,353.0,139.0,1269.0,276.0,66.0,65.0,28.0,221.0,,,
75,2020-03-27,11.0,Paris,Île-de-France,,,1.21098517872711,,1656.0,441.0,433.0,180.0,1389.0,270.0,76.0,82.0,42.0,195.0,,,
75,2020-03-28,11.0,Paris,Île-de-France,,,1.36878814298169,,1927.0,518.0,499.0,211.0,1570.0,346.0,76.0,66.0,31.0,242.0,,,
75,2020-03-29,11.0,Paris,Île-de-France,,,1.45422842197036,,2115.0,570.0,515.0,237.0,1668.0,241.0,69.0,17.0,25.0,158.0,,,
75,2020-03-30,11.0,Paris,Île-de-France,,,1.56233653007847,,2217.0,597.0,607.0,306.0,1792.0,252.0,52.0,96.0,69.0,189.0,,,
75,2020-03-31,11.0,Paris,Île-de-France,,,1.72362685265911,,2434.0,663.0,730.0,362.0,1977.0,404.0,83.0,125.0,57.0,288.0,,,
75,2020-04-01,11.0,Paris,Île-de-France,,,1.92153443766347,,2633.0,720.0,863.0,404.0,2204.0,378.0,84.0,137.0,42.0,307.0,,,
75,2020-04-02,11.0,Paris,Île-de-France,,,2.00610287707062,,2838.0,782.0,954.0,455.0,2301.0,344.0,96.0,115.0,51.0,261.0,,,
75,2020-04-03,11.0,Paris,Île-de-France,,,2.07061900610288,,2897.0,783.0,1092.0,512.0,2375.0,294.0,63.0,138.0,58.0,258.0,,,
75,2020-04-04,11.0,Paris,Île-de-France,,,2.12380122057541,,2999.0,809.0,1212.0,548.0,2436.0,285.0,76.0,121.0,36.0,192.0,,,
75,2020-04-05,11.0,Paris,Île-de-France,,,2.1848299912816,,3075.0,838.0,1309.0,593.0,2506.0,232.0,55.0,98.0,45.0,153.0,,,
75,2020-04-06,11.0,Paris,Île-de-France,,,2.21185701830863,,3119.0,838.0,1383.0,646.0,2537.0,226.0,67.0,79.0,54.0,196.0,,,
75,2020-04-07,11.0,Paris,Île-de-France,,,2.26765475152572,,3169.0,849.0,1507.0,683.0,2601.0,235.0,54.0,128.0,38.0,239.0,,,
75,2020-04-08,11.0,Paris,Île-de-France,,,2.32606800348736,,3154.0,855.0,1654.0,732.0,2668.0,240.0,58.0,156.0,50.0,208.0,,,
75,2020-04-09,11.0,Paris,Île-de-France,,,2.31386224934612,,3155.0,831.0,1824.0,770.0,2654.0,239.0,40.0,172.0,38.0,170.0,,,
75,2020-04-10,11.0,Paris,Île-de-France,,,2.32345248474281,,3181.0,841.0,2005.0,839.0,2665.0,293.0,63.0,193.0,69.0,197.0,,,
75,2020-04-11,11.0,Paris,Île-de-France,,,2.28160418482999,,3219.0,811.0,2131.0,867.0,2617.0,221.0,32.0,129.0,32.0,117.0,,,
75,2020-04-12,11.0,Paris,Île-de-France,,,2.28945074106364,,3249.0,807.0,2226.0,912.0,2626.0,170.0,41.0,99.0,45.0,125.0,,,
75,2020-04-13,11.0,Paris,Île-de-France,,,2.27027027027027,,3266.0,796.0,2287.0,959.0,2604.0,131.0,29.0,66.0,48.0,102.0,,,
75,2020-04-14,11.0,Paris,Île-de-France,,,2.26591107236269,,3281.0,790.0,2336.0,1003.0,2599.0,128.0,32.0,53.0,45.0,135.0,,,
75,2020-04-15,11.0,Paris,Île-de-France,,,2.1743679163034,,3209.0,750.0,2480.0,1054.0,2494.0,152.0,37.0,148.0,52.0,125.0,,,
75,2020-04-16,11.0,Paris,Île-de-France,,,2.10897994768963,,3103.0,727.0,2640.0,1090.0,2419.0,156.0,23.0,169.0,36.0,126.0,,,
75,2020-04-17,11.0,Paris,Île-de-France,,,2.0409764603313,,3083.0,697.0,2792.0,1132.0,2341.0,201.0,34.0,156.0,43.0,95.0,,,
75,2020-04-18,11.0,Paris,Île-de-France,,,1.99912816041848,,3013.0,685.0,2927.0,1160.0,2293.0,130.0,28.0,140.0,28.0,94.0,,,
75,2020-04-19,11.0,Paris,Île-de-France,,,1.96512641673932,,2939.0,661.0,3018.0,1193.0,2254.0,61.0,6.0,93.0,34.0,43.0,,,
75,2020-04-20,11.0,Paris,Île-de-France,,,1.92676547515257,,2933.0,642.0,3069.0,1239.0,2210.0,109.0,14.0,55.0,47.0,73.0,,,
75,2020-04-21,11.0,Paris,Île-de-France,,,1.85353095030514,,2856.0,614.0,3208.0,1273.0,2126.0,132.0,29.0,145.0,35.0,83.0,,,
75,2020-04-22,11.0,Paris,Île-de-France,,,1.79163034001744,,2784.0,589.0,3334.0,1288.0,2055.0,90.0,15.0,133.0,17.0,68.0,,,
75,2020-04-23,11.0,Paris,Île-de-France,,,1.7489102005231,,2705.0,563.0,3436.0,1310.0,2006.0,83.0,14.0,136.0,22.0,70.0,,,
75,2020-04-24,11.0,Paris,Île-de-France,,,1.6974716652136,,2624.0,557.0,3537.0,1327.0,1947.0,64.0,21.0,107.0,17.0,62.0,,,
75,2020-04-25,11.0,Paris,Île-de-France,,,1.66782911944202,,2568.0,540.0,3626.0,1345.0,1913.0,70.0,21.0,97.0,19.0,64.0,,,
75,2020-04-26,11.0,Paris,Île-de-France,,,1.64864864864865,,2554.0,523.0,3667.0,1366.0,1891.0,51.0,5.0,41.0,21.0,28.0,,,
75,2020-04-27,11.0,Paris,Île-de-France,,,1.6207497820401,,2506.0,513.0,3735.0,1387.0,1859.0,52.0,17.0,73.0,21.0,50.0,,,
75,2020-04-28,11.0,Paris,Île-de-France,,,1.53530950305144,,2448.0,502.0,3785.0,1404.0,1801.0,85.0,13.0,101.0,35.0,57.0,,,
75,2020-04-29,11.0,Paris,Île-de-France,,,1.46469049694856,,2348.0,468.0,3972.0,1446.0,1680.0,104.0,12.0,153.0,26.0,44.0,,,
75,2020-04-30,11.0,Paris,Île-de-France,,,1.40627724498692,,2292.0,455.0,4071.0,1466.0,1613.0,75.0,12.0,104.0,21.0,45.0,,,
75,2020-05-01,11.0,Paris,Île-de-France,,,1.36791630340017,,2234.0,435.0,4146.0,1471.0,1569.0,43.0,6.0,76.0,5.0,25.0,,,
75,2020-05-02,11.0,Paris,Île-de-France,,,1.35309503051439,,2189.0,429.0,4206.0,1485.0,1552.0,32.0,6.0,64.0,15.0,25.0,,,
75,2020-05-03,11.0,Paris,Île-de-France,,,1.35135135135135,,2177.0,430.0,4229.0,1493.0,1550.0,24.0,15.0,27.0,8.0,33.0,,,
75,2020-05-04,11.0,Paris,Île-de-France,,,1.30863121185702,,2155.0,420.0,4259.0,1517.0,1501.0,41.0,14.0,32.0,24.0,37.0,,,
75,2020-05-05,11.0,Paris,Île-de-France,,,1.23452484742807,,2104.0,404.0,4341.0,1542.0,1416.0,79.0,13.0,95.0,25.0,30.0,,,
75,2020-05-06,11.0,Paris,Île-de-France,,,1.15780296425458,,1971.0,373.0,4467.0,1553.0,1328.0,48.0,7.0,130.0,13.0,31.0,,,
75,2020-05-07,11.0,Paris,Île-de-France,,,1.09328683522232,,1863.0,349.0,4593.0,1560.0,1254.0,46.0,12.0,130.0,8.0,42.0,,,
75,2020-05-08,11.0,Paris,Île-de-France,,,1.06190061028771,,1819.0,339.0,4659.0,1562.0,1218.0,36.0,13.0,69.0,2.0,39.0,,,
75,2020-05-09,11.0,Paris,Île-de-France,,,1.0305143853531,,1799.0,328.0,4683.0,1575.0,1182.0,22.0,7.0,25.0,13.0,16.0,,,
75,2020-05-10,11.0,Paris,Île-de-France,,,1.02092414995641,,1803.0,322.0,4694.0,1579.0,1171.0,21.0,5.0,11.0,4.0,14.0,,,
75,2020-05-11,11.0,Paris,Île-de-France,,,0.992153443766347,,1780.0,314.0,4737.0,1595.0,1138.0,44.0,13.0,45.0,18.0,29.0,,,
75,2020-05-12,11.0,Paris,Île-de-France,,,0.940714908456844,,1743.0,305.0,4807.0,1599.0,1079.0,54.0,11.0,82.0,6.0,35.0,,,
