Categorie_evenements;Date début évènement;Commentaires
Général;2020-06-10;Augmentation progressive de l'offre dans les réseaux de transports en commun
Vélo et marche;2020-12-12;Inauguration de l'escalier de la place de la Bastille réaménagée menant au quai du port de l'Arsenal
Vélo et marche;2022-10-01;XXème édition de la Nuit Blanche à Paris.
Pollution;2023-06-18;Gratuité du stationnement résidentiel en raison d'un risque de pollution à l'ozone.
Vélo et marche;2020-03-04;Ouverture du tronçon de la Ceinture verte comprise entre rue de Thionville et rue de l'Ourcq (19ème)
Général;2020-03-17;Instauration du 1er confinement national
Stationnement;2020-08-27;Prolongation de l'usage de l'espace public pour les cafés et restaurants dans le cadre de la crise sanitaire du printemps jusqu'en juin 2021
;2021-04-03;Instauration du 3ème confinement national (avec attestation de sortie, limitation des déplacements dans un rayon de 10km, interdiction de déplacements inter-régionaux) avec couvre-feu à 19h.Fermeture des établissements scolaires.
Général;2021-05-19;Couvre feu décalé à 21h
Circulation;2021-08-30;Limitation de la vitesse de la circulation à 30 km/h dans Paris intra-Muros (à l'exception de quelques axes dont les Boulevards des Maréchaux, l'avenue des Champs-Elysées, le Cours de Vincennes...).
Stationnement;2023-02-09;Mise en place de la gratuité du stationnement résidentiel en raison d'un risque de pollution aux particules PM10.
Vélo et marche;2023-05-14;"Extension de l'opération ""Paris Respire Marais"" tous les dimanches."
Vélo et marche;2023-06-06;La piste cyclable du boulevard de Sébastopol franchit la barre des 2 millions de cyclistes enregistrés depuis sa création
Vélo et marche;2021-08-01;Entrée en vigueur d'une nouvelle tarification du service Velib'
Stationnement;2022-06-13;Fermeture pour travaux du parc de stationnement pour autocars Pershing (17ème).
Vélo et marche;2022-10-10;La piste cyclable du Boulevard de Sébastopol enregistre un record de fréquentation avec 28 417 vélos et 5 305 trottinettes comptabilisés.
Générale;2023-03-07;Journée de mobilisation contre la réforme des retraites
Circulation;2021-02-01;Interdiction faite aux 2-RM de circuler entre les files de voitures
Stationnement;2022-03-25;Mise en place de la gratuité du stationnement résidentiel en raison d'un risque de pollution aux PM10 jusqu'au 28 mars 2022
Stationnement;2022-06-18;Mise en place de la gratuité du stationnement résidentiel en raison d'un risque  de pollution à l'ozone.
Vélo et marche;2022-09-09;Le syndicat Vélib' franchit la barre du 400.000 ème abonné.
Stationnement;2023-02-14;Mise en place de la gratuité du stationnement résidentiel en raison d'un risque de pollution aux particules PM10.
Générale;2023-04-20;Journée de mobilisation contre la réforme des retraites
Circulation;2023-06-06;Fermeture nocturne du Boulevard périphérque Nord (entre porte Dauphine et porte de Bagnolet) pour travaux relatifs à la préparation des JOP2024.
Général;2021-06-09;Couvre feu décalé à 23h
Vélo et marche;2022-07-09;OPération Paris plage sur les sites du Parc des Rives de Seine et du Bassin de la Villette.
Stationnement;2023-02-15;Mise en place de la gratuité du stationnement résidentiel en raison d'un risque de pollution aux particules PM10.
Stationnement;2021-05-01;Début du remplacement des bornes de recharges Autolib' par de nouvelles bornes intégrées au réseau Bélib' dont le groupe TotalEnergie est devenu le nouveau gestionnaire le 25 mars.
Stationnement;2021-10-29;"Fermeture pour travaux du parc concédé ""Porte de Saint-Ouen"""
Stationnement;2021-11-10;Mise en place de la gratuité du stationnement résidentiel en raison d'un risque de pollution aux PM10
Vélo et marche;2023-04-02;Organisation d'une votation citoyenne sur le maintien des trottinettes électriques en libre-service.
Vélo et marche;2020-11-09;Ouverture de la Vélostation Maine-Montpar- nasse abritant 385 emplacements pour vélo, dont 56 pour V.A.E
Vélo et marche;2022-10-01;Pérennisation de la piste cyclable avenue de la République
Vélo et marche;2022-12-01;Ouverture de la piste cyclable bidirectionnelle de la rue La Fayette (section entre Haussmann et Magenta)
Vélo et marche;2023-06-03;22ème édition de la Nuit Blanche au plus près de la Seine (et 1ère édition à cette période de l'année).
Vélo et marche;2020-12-31;Ont été crées au cours de l'année :<br/>-52 km d'itinéraires cyclables provisoires dans le cadre de la crise sanitaire (dites Coronapistes)<br/>- 6 km linéaires d'aires piétonnes
Stationnement;2022-06-17;Mise en place de la gratuité du stationnement résidentiel en raison d'un risque  de pollution à l'ozone.
Stationnement;2023-02-11;Mise en place de la gratuité du stationnement résidentiel en raison d'un risque de pollution aux particules PM10.
Stationnement;2020-03-17;"La mise en place du confinement qu'induit la crise sanitaire entraîne la prise de mesures en termes de déplacement, dont :<br/>- Mise en place de la gratuité du stationne- ment à Paris<br/>- Arrêt de la mise en préfourrière<br/>- Gratuité du service Vélib' pour les person- 
nels soignants."
